company,page,clusters,rmse
Barclays,23,100,0.7469998061328769
Barclays,24,2,0.735374775858233
Barclays,24,5,0.7366956950102929
Barclays,24,8,0.7722851825746424
Barclays,24,12,0.7669887870465293
Barclays,24,15,0.7785196118932761
Barclays,24,18,0.7816450041191038
Barclays,24,22,0.7393443522815967
Barclays,24,25,0.7798659141656337
Barclays,24,29,0.7640752576596207
Barclays,24,32,0.6390765016058766
Barclays,24,35,0.7423325952479461
Barclays,24,39,0.7020592949587323
Barclays,24,42,0.7272289539522242
Barclays,24,45,0.7242309814619432
Barclays,24,49,0.7471798043638654
Barclays,24,52,0.7246357041886246
Barclays,24,56,0.711974006560391
Barclays,24,59,0.7314812518624186
Barclays,24,62,0.7116308756644986
Barclays,24,66,0.7424709817337656
Barclays,24,69,0.6904324144532418
Barclays,24,72,0.7408822408203202
Barclays,24,76,0.7177879228637383
Barclays,24,79,0.7279855580722738
Barclays,24,83,0.7678113463893579
Barclays,24,86,0.6847991604420843
Barclays,24,89,0.7246058330578834
Barclays,24,93,0.684031641779322
Barclays,24,96,0.6827839687648782
Barclays,24,100,0.7798462050054388
Barclays,25,2,0.7676759731713518
Barclays,25,5,0.8619324959077025
Barclays,25,8,0.8261005288266325
Barclays,25,12,0.8504622051948836
Barclays,25,15,0.8283488657157213
Barclays,25,18,0.7920745503357428
Barclays,25,22,0.8370882044757842
Barclays,25,25,0.8511649670518365
Barclays,25,29,0.8051313781392352
Barclays,25,32,0.8069582582425378
Barclays,25,35,0.7597334207135613
Barclays,25,39,0.7908775005912821
Barclays,25,42,0.7618597926940796
Barclays,25,45,0.8225669468734625
Barclays,25,49,0.7972937088981064
Barclays,25,52,0.7793319312941582
Barclays,25,56,0.7646830615564918
Barclays,25,59,0.8044379959401947
Barclays,25,62,0.7939547759530997
Barclays,25,66,0.8137705811690746
Barclays,25,69,0.8722785184849255
Barclays,25,72,0.8112549063393439
Barclays,25,76,0.8226049706662102
Barclays,25,79,0.7906829762034028
Barclays,25,83,0.7968564213331067
Barclays,25,86,0.8088490308249517
Barclays,25,89,0.8367082106904327
Barclays,25,93,0.7896300416868579
Barclays,25,96,0.7862161137047559
Barclays,25,100,0.7520196219879702
BlackRock,1,2,0.8605270715203165
BlackRock,1,5,0.8046942794491635
BlackRock,1,8,0.8817957103552629
BlackRock,1,12,0.7423423737473672
BlackRock,1,15,0.7292873234325065
BlackRock,1,18,0.7407306473807497
BlackRock,1,22,0.7912662010684627
BlackRock,1,25,0.8012571124914544
BlackRock,1,29,0.7739158624328835
BlackRock,1,32,0.7438432747433548
BlackRock,1,35,0.7531917094374944
BlackRock,1,39,0.7979243502164434
BlackRock,1,42,0.7961107154767328
BlackRock,1,45,0.7280902683689637
BlackRock,1,49,0.7643250008790331
BlackRock,1,52,0.7372539938608168
BlackRock,1,56,0.7544430126843426
BlackRock,1,59,0.7628267348670718
BlackRock,1,62,0.7378195551704331
BlackRock,1,66,0.7621466438853928
BlackRock,1,69,0.7380570639282473
BlackRock,1,72,0.7205680429849649
BlackRock,1,76,0.7531945525884449
BlackRock,1,79,0.7468703669646964
BlackRock,1,83,0.7244258301645409
BlackRock,1,86,0.8268223171873484
BlackRock,1,89,0.7442880671041255
BlackRock,1,93,0.7210460740662272
