--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        29.01%       4.043ms        29.01%       4.043ms       3.937us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1027  
                                     PythonDispatchMode         8.60%       1.198ms        95.76%      13.347ms     556.130us       0.000us         0.00%       8.315ms     346.474us           0 B          40 B     971.00 KB           0 B            24  
                                      aten::_linalg_svd         6.39%     890.988us       160.76%      22.407ms       5.602ms       8.088ms        97.29%      16.227ms       4.057ms           0 B          -8 B     830.00 KB     127.50 KB             4  
                                Activity Buffer Request         4.44%     619.251us         4.44%     619.251us     619.251us       1.984us         0.02%       1.984us       1.984us           0 B           0 B           0 B           0 B             1  
                                               aten::mm         1.89%     263.965us         7.24%       1.009ms     100.877us      49.792us         0.60%      99.584us       9.958us           0 B           0 B     549.00 KB     274.50 KB            10  
                                         aten::_softmax         1.16%     161.703us         2.77%     386.577us      64.430us      10.720us         0.13%      21.440us       3.573us           0 B           0 B     218.00 KB     109.00 KB             6  
                                 aten::_linalg_solve_ex         0.76%     105.915us         4.88%     680.638us     340.319us       0.000us         0.00%     240.902us     120.451us           0 B           0 B      63.00 KB      31.50 KB             2  
                                            aten::copy_         0.71%      98.607us         1.67%     232.463us      19.372us      24.513us         0.29%      24.513us       2.043us           0 B           0 B           0 B           0 B            12  
                                              aten::div         0.65%      89.925us         2.64%     368.623us      61.437us       5.727us         0.07%      11.454us       1.909us         -24 B         -24 B     218.00 KB     109.00 KB             6  
                                  cudaStreamSynchronize         0.47%      65.758us         0.47%      65.758us       2.630us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            25  
                                            aten::fill_         0.38%      53.166us         8.89%       1.239ms     247.770us       8.704us         0.10%      10.688us       2.138us           0 B           0 B           0 B           0 B             5  
                                              aten::mul         0.36%      50.776us         1.74%     243.172us      60.793us       4.034us         0.05%       8.068us       2.017us         -16 B         -16 B      32.00 KB      16.00 KB             4  
                                        cudaMemsetAsync         0.30%      41.171us         0.30%      41.171us       4.575us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             9  
                                              aten::any         0.29%      40.624us         1.30%     181.332us      60.444us       0.000us         0.00%      11.743us       3.914us           0 B           0 B       1.50 KB           0 B             3  
                                            aten::slice         0.26%      36.017us         1.04%     145.269us      36.317us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                              aten::eye         0.25%      35.007us         2.21%     307.648us     102.549us       0.000us         0.00%      11.328us       3.776us           0 B           0 B      24.00 KB           0 B             3  
                                  aten::linalg_lu_solve         0.25%      34.585us         0.82%     114.777us     114.777us      39.840us         0.48%      43.713us      43.713us           0 B           0 B           0 B        -512 B             1  
                                         aten::_to_copy         0.24%      33.527us         1.20%     167.511us      33.502us       0.000us         0.00%      10.208us       2.042us           8 B           0 B       1.50 KB           0 B             5  
                                            aten::empty         0.22%      31.311us         0.22%      31.311us       5.218us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     287.50 KB     287.50 KB             6  
                                          aten::permute         0.21%      29.118us         1.16%     162.087us      27.014us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                    aten::empty_strided         0.18%      25.397us         0.18%      25.397us       5.079us       0.000us         0.00%       0.000us       0.000us           8 B           8 B       1.50 KB       1.50 KB             5  
                              aten::linalg_lu_factor_ex         0.18%      24.945us         0.83%     114.997us     114.997us      75.393us         0.91%      76.738us      76.738us           0 B           0 B           0 B           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.16%      22.728us         0.16%      22.728us       3.788us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                              aten::_local_scalar_dense         0.16%      22.279us         0.44%      60.657us      20.219us       4.384us         0.05%       4.384us       1.461us           0 B           0 B           0 B           0 B             3  
                                              aten::add         0.16%      22.168us         0.63%      87.664us      43.832us       2.560us         0.03%       5.120us       2.560us           0 B           0 B      16.00 KB       8.00 KB             2  
