--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.264us         0.08%       3.264us       3.264us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.186ms
Self CUDA time total: 3.879ms


--- Iteration 1 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        34.27%       3.010ms        34.27%       3.010ms       5.890us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           511  
                                        cudaMemcpyAsync        24.28%       2.132ms        24.28%       2.132ms     125.434us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                Activity Buffer Request        16.66%       1.463ms        16.66%       1.463ms       1.463ms       1.952us         0.05%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode         9.90%     869.877us        97.42%       8.556ms     570.400us       0.000us         0.00%       4.142ms     276.139us           0 B           8 B       2.43 MB           0 B            15  
                                      aten::_linalg_svd         5.49%     482.306us       164.78%      14.472ms       7.236ms       4.059ms        98.05%       8.149ms       4.075ms           0 B          -4 B     416.00 KB      64.00 KB             2  
                                               aten::mm         1.90%     166.716us         8.35%     733.512us      91.689us      45.695us         1.10%      91.390us      11.424us           0 B           0 B       1.29 MB     659.50 KB             8  
                                         aten::_softmax         0.82%      72.178us         1.82%     160.254us      80.127us       6.368us         0.15%      12.736us       6.368us           0 B           0 B     644.00 KB     322.00 KB             2  
                                            aten::copy_         0.62%      54.263us         1.33%     116.857us      23.371us      11.521us         0.28%      11.521us       2.304us           0 B           0 B           0 B           0 B             5  
                                              aten::div         0.47%      41.599us         1.71%     150.463us      75.231us       2.944us         0.07%       5.888us       2.944us          -8 B          -8 B     644.00 KB     322.00 KB             2  
                                            aten::slice         0.46%      40.715us         2.47%     217.063us      36.177us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                            aten::fill_         0.44%      38.420us        23.68%       2.080ms     693.360us       5.280us         0.13%       7.232us       2.411us           0 B           0 B           0 B           0 B             3  
                                  cudaStreamSynchronize         0.39%      34.249us         0.39%      34.249us       2.854us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                            aten::empty         0.39%      34.004us         0.39%      34.004us       8.501us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     474.00 KB     474.00 KB             4  
                                              aten::add         0.33%      29.217us         1.41%     123.663us      61.832us       3.264us         0.08%       6.528us       3.264us           0 B           0 B     644.00 KB     322.00 KB             2  
                                             aten::triu         0.25%      22.267us         1.27%     111.680us      55.840us       4.031us         0.10%       8.062us       4.031us           0 B           0 B     644.00 KB     322.00 KB             2  
                                        cudaMemsetAsync         0.25%      21.543us         0.25%      21.543us       5.386us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                              aten::any         0.23%      20.076us         0.85%      74.689us      74.689us       0.000us         0.00%       4.704us       4.704us           0 B           0 B         512 B           0 B             1  
                                           aten::matmul         0.21%      18.830us         6.25%     548.949us     137.237us       0.000us         0.00%      45.695us      11.424us           0 B           0 B     659.50 KB           0 B             4  
                                       aten::diag_embed         0.18%      15.619us         2.44%     213.921us     106.961us       0.000us         0.00%       7.552us       3.776us           0 B           0 B      16.00 KB           0 B             2  
                                             aten::full         0.18%      15.604us         1.93%     169.691us      84.845us       0.000us         0.00%       2.880us       1.440us           0 B           0 B     644.00 KB           0 B             2  
                                         aten::_to_copy         0.17%      15.206us         0.95%      83.267us      41.633us       0.000us         0.00%       4.832us       2.416us           4 B           0 B         512 B           0 B             2  
                                  cudaDeviceSynchronize         0.16%      14.350us         0.16%      14.350us       7.175us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                    aten::empty_strided         0.14%      12.712us         0.14%      12.712us       6.356us       0.000us         0.00%       0.000us       0.000us           4 B           4 B         512 B         512 B             2  
                                            aten::zeros         0.14%      12.552us        23.82%       2.092ms       1.046ms       0.000us         0.00%       5.792us       2.896us           0 B           0 B       8.50 KB           0 B             2  
                              aten::_local_scalar_dense         0.13%      11.477us         0.29%      25.153us      25.153us       1.760us         0.04%       1.760us       1.760us           0 B           0 B           0 B           0 B             1  
                                       aten::as_strided         0.13%      11.465us         0.13%      11.465us       1.638us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                          aten::permute         0.13%      11.458us         0.72%      62.974us      31.487us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::zero_         0.11%       9.306us        23.50%       2.064ms       1.032ms       0.000us         0.00%       5.792us       2.896us           0 B           0 B           0 B           0 B             2  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.10%       9.083us         0.10%       9.083us       3.028us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                             aten::_linalg_check_errors         0.10%       8.421us         1.27%     111.877us     111.877us       0.000us         0.00%       6.464us       6.464us           0 B           0 B           0 B        -512 B             1  
                                        aten::transpose         0.09%       8.185us         0.13%      11.583us       5.792us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::to         0.08%       6.848us         1.03%      90.115us      45.058us       0.000us         0.00%       4.832us       2.416us           4 B           0 B         512 B           0 B             2  
                                            aten::clone         0.08%       6.781us         0.51%      44.623us      44.623us       0.000us         0.00%       3.169us       3.169us           0 B           0 B     143.50 KB           0 B             1  
                                       aten::linalg_svd         0.07%       5.884us        82.95%       7.286ms       7.286ms       0.000us         0.00%       4.075ms       4.075ms           0 B           0 B     208.00 KB           0 B             1  
                                          aten::softmax         0.06%       5.467us         1.58%     138.345us     138.345us       0.000us         0.00%       6.368us       6.368us           0 B           0 B     322.00 KB           0 B             1  
                                               aten::mT         0.06%       4.837us         0.19%      16.420us       8.210us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                      aten::as_strided_         0.05%       4.814us         0.05%       4.814us       4.814us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       aten::transpose_         0.05%       4.764us         0.11%       9.578us       9.578us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                             aten::diag         0.05%       4.623us         1.56%     136.942us     136.942us       0.000us         0.00%       3.776us       3.776us           0 B           0 B       8.00 KB           0 B             1  
                                         aten::diagonal         0.05%       4.443us         0.07%       5.799us       5.799us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.05%       4.272us         0.05%       4.272us       4.272us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          aten::view_as         0.05%       4.111us         0.07%       6.056us       6.056us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          aten::numpy_T         0.05%       4.084us         0.69%      60.662us      60.662us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                        cudaEventRecord         0.04%       3.758us         0.04%       3.758us       3.758us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                             aten::item         0.04%       3.614us         0.33%      28.767us      28.767us       0.000us         0.00%       1.760us       1.760us           0 B           0 B           0 B           0 B             1  
                                       aten::empty_like         0.04%       3.612us         0.13%      11.252us      11.252us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     143.50 KB           0 B             1  
                                           aten::detach         0.02%       2.121us         0.07%       6.393us       6.393us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                             aten::view         0.02%       1.945us         0.02%       1.945us       1.945us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.05%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.057us         0.12%       5.057us       2.528us           0 B           0 B           0 B           0 B             2  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       4.480us         0.11%       4.480us       1.120us           0 B           0 B           0 B           0 B             4  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.087us         0.12%       5.087us       1.272us           0 B           0 B           0 B           0 B             4  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     426.942us        10.31%     426.942us     426.942us           0 B           0 B           0 B           0 B             1  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       4.576us         0.11%       4.576us       1.525us           0 B           0 B           0 B           0 B             3  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     542.822us        13.11%     542.822us       4.241us           0 B           0 B           0 B           0 B           128  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     421.333us        10.18%     421.333us       3.292us           0 B           0 B           0 B           0 B           128  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       1.729us         0.04%       1.729us       1.729us           0 B           0 B           0 B           0 B             1  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       3.840us         0.09%       3.840us       3.840us           0 B           0 B           0 B           0 B             1  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       3.552us         0.09%       3.552us       3.552us           0 B           0 B           0 B           0 B             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      16.031us         0.39%      16.031us       1.457us           0 B           0 B           0 B           0 B            11  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       2.144us         0.05%       2.144us       2.144us           0 B           0 B           0 B           0 B             1  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      14.272us         0.34%      14.272us       7.136us           0 B           0 B           0 B           0 B             2  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      17.534us         0.42%      17.534us       2.192us           0 B           0 B           0 B           0 B             8  
