--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.276ms
Self CUDA time total: 58.655us


--- Iteration 3 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        39.84%       1.489ms        39.84%       1.489ms       1.489ms       1.472us         2.55%       1.472us       1.472us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        20.12%     752.167us        20.12%     752.167us      47.010us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                     PythonDispatchMode        19.78%     739.163us        92.44%       3.455ms     287.939us       0.000us         0.00%      59.104us       4.925us           0 B           0 B       2.13 MB           0 B            12  
                                               aten::mm         3.52%     131.629us        13.40%     500.816us     125.204us      22.817us        39.59%      45.634us      11.408us           0 B           0 B       1.05 MB     536.50 KB             4  
                                              aten::mul         3.36%     125.507us       121.61%       4.546ms       1.136ms       2.816us         4.89%       8.576us       2.144us           0 B           0 B     624.00 KB     312.00 KB             4  
                                    aten::_safe_softmax         2.09%      78.134us        10.84%     405.085us     202.543us       0.000us         0.00%      33.856us      16.928us           0 B           0 B     761.00 KB     -96.50 KB             2  
               aten::_scaled_dot_product_attention_math         1.65%      61.518us        98.78%       3.692ms       3.692ms       0.000us         0.00%      59.104us      59.104us           0 B           0 B     692.50 KB      -1.45 MB             1  
                                            aten::where         1.47%      55.053us         9.27%     346.621us      86.655us       5.984us        10.38%      13.728us       3.432us           0 B           0 B       1.11 MB        -512 B             4  
                     aten::scaled_dot_product_attention         0.89%      33.315us        99.67%       3.726ms       3.726ms       0.000us         0.00%      59.104us      59.104us           0 B           0 B     692.50 KB           0 B             1  
                                            aten::empty         0.87%      32.500us         0.87%      32.500us       6.500us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      97.00 KB      97.00 KB             5  
                                            aten::fill_         0.84%      31.510us         1.88%      70.269us      17.567us       6.304us        10.94%       6.304us       1.576us           0 B           0 B           0 B           0 B             4  
                                              aten::add         0.77%      28.914us         3.19%     119.324us      59.662us       1.920us         3.33%       3.840us       1.920us           0 B           0 B     761.00 KB     380.50 KB             2  
                                             aten::tril         0.65%      24.203us         3.19%     119.347us      59.674us       4.767us         8.27%       9.534us       4.767us           0 B           0 B     191.00 KB      95.50 KB             2  
                                              aten::all         0.61%      22.795us         0.91%      34.029us      34.029us       5.376us         9.33%       5.376us       5.376us           0 B           0 B         512 B         512 B             1  
                                    aten::scalar_tensor         0.52%      19.585us         5.87%     219.324us      43.865us       0.000us         0.00%       6.336us       1.267us           0 B           0 B       2.50 KB           0 B             5  
                                             aten::ones         0.41%      15.374us         5.46%     204.172us     102.086us       0.000us         0.00%       5.056us       2.528us           0 B           0 B     191.00 KB           0 B             2  
                                        aten::transpose         0.40%      14.943us         1.97%      73.622us      36.811us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_softmax         0.40%      14.822us         0.71%      26.394us      26.394us       4.960us         8.61%       4.960us       4.960us           0 B           0 B     380.50 KB     380.50 KB             1  
                                         aten::isneginf         0.35%      12.950us         0.63%      23.700us      23.700us       2.688us         4.66%       2.688us       2.688us           0 B           0 B      95.50 KB      95.50 KB             1  
                                  cudaDeviceSynchronize         0.33%      12.242us         0.33%      12.242us       6.121us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.27%      10.147us         9.63%     359.866us     179.933us       0.000us         0.00%      22.817us      11.408us           0 B           0 B     536.50 KB           0 B             2  
                                          aten::resize_         0.17%       6.179us         0.17%       6.179us       6.179us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     380.50 KB     380.50 KB             1  
                                       aten::as_strided         0.14%       5.374us         0.14%       5.374us       5.374us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::to         0.14%       5.333us         0.14%       5.333us       1.778us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                          aten::softmax         0.13%       4.850us         0.84%      31.244us      31.244us       0.000us         0.00%       4.960us       4.960us           0 B           0 B     380.50 KB           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.12%       4.467us         0.12%       4.467us       4.467us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.10%       3.680us         0.10%       3.680us       3.680us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
