-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::linalg_svd         0.00%     137.374us        62.82%        5.214s     162.950ms       0.000us         0.00%       14.689s     459.017ms           0 B           0 B     216.50 MB           0 B            32  
                                      aten::_linalg_svd         4.07%     337.679ms        62.82%        5.214s     162.946ms        4.091s        76.88%       14.689s     459.017ms           0 B      -4.00 KB     216.50 MB      63.48 MB            32  
                                           Buffer Flush         0.08%       7.034ms         0.09%       7.057ms     121.678us        6.513s       122.39%        6.513s     112.292ms           0 B           0 B       5.01 MB       5.01 MB            58  
                                    Hokus Pokus prefill         0.00%       0.000us         0.00%       0.000us       0.000us        5.753s       108.11%        5.753s        5.753s           0 B           0 B           0 B           0 B             1  
                                Activity Buffer Request         1.64%     136.242ms         1.64%     136.242ms       2.523ms        4.083s        76.73%        4.083s      75.616ms           0 B           0 B           0 B           0 B            54  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.889s        35.50%        1.889s      37.967us           0 B           0 B           0 B           0 B         49756  
                                       cudaLaunchKernel        25.66%        2.130s        26.59%        2.207s       3.887us       0.000us         0.00%        1.665s       2.932us           0 B           0 B           0 B           0 B        567729  
                                           aten::matmul         1.25%     103.812ms         6.01%     498.483ms      56.788us       0.000us         0.00%     951.183ms     108.360us           0 B           0 B       1.57 GB           0 B          8778  
                                           aten::linear         0.47%      38.618ms         4.87%     404.295ms      59.976us       0.000us         0.00%     937.108ms     139.016us           0 B           0 B       2.00 GB           0 B          6741  
                                               aten::mm         1.23%     101.914ms         1.71%     141.595ms      29.967us     905.471ms        17.02%     905.471ms     191.634us           0 B           0 B     936.54 MB     936.54 MB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     575.133ms        10.81%     575.133ms       4.388us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     484.429ms         9.10%     484.429ms       1.694ms           0 B           0 B           0 B           0 B           286  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     448.348ms         8.43%     448.348ms       3.421us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     443.701ms         8.34%     443.701ms     433.302us           0 B           0 B           0 B           0 B          1024  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     402.345ms         7.56%     402.345ms     124.952us           0 B           0 B           0 B           0 B          3220  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us     384.062ms         7.22%     384.062ms       3.859us           0 B           0 B           0 B           0 B         99512  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     225.772ms         4.24%     225.772ms       4.538us           0 B           0 B           0 B           0 B         49756  
                                            aten::copy_         1.43%     118.707ms         3.95%     328.265ms      13.067us     107.844ms         2.03%     107.867ms       4.294us           0 B           0 B           0 B           0 B         25122  
                                               aten::to         0.45%      37.266ms         6.24%     517.565ms      21.207us       0.000us         0.00%     100.586ms       4.122us     222.44 MB           0 B       7.60 GB           0 B         24405  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.300s
Self CUDA time total: 5.321s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Hokus Pokus prefill         1.41%     118.361ms        69.05%        5.806s        5.806s       0.000us         0.00%       15.207s       15.207s     207.22 MB           0 B     374.29 MB      -7.12 GB             1  
                                       aten::linalg_svd         0.02%       2.002ms        61.96%        5.210s     162.810ms       0.000us         0.00%       14.615s     456.723ms           0 B           0 B     216.50 MB           0 B            32  
                                      aten::_linalg_svd         4.03%     338.808ms        61.94%        5.208s     162.747ms        4.116s        76.80%       14.615s     456.723ms           0 B      -4.00 KB     216.50 MB      63.48 MB            32  
                                           Buffer Flush         0.08%       6.954ms         0.08%       7.011ms     120.886us        6.533s       121.90%        6.533s     112.635ms          24 B          24 B         512 B         512 B            58  
                                    Hokus Pokus prefill         0.00%       0.000us         0.00%       0.000us       0.000us        5.835s       108.88%        5.835s        5.835s           0 B           0 B           0 B           0 B             1  
                                Activity Buffer Request         1.74%     146.160ms         1.74%     146.160ms       2.707ms        3.966s        74.00%        3.966s      73.435ms           0 B           0 B           0 B           0 B            54  
                                       cudaLaunchKernel        25.10%        2.110s        26.14%        2.198s       3.872us       0.000us         0.00%        1.919s       3.380us           0 B           0 B           0 B           0 B        567609  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.902s        35.48%        1.902s      38.239us           0 B           0 B           0 B           0 B         49728  
                                           aten::matmul         1.51%     126.786ms         6.28%     528.380ms      60.194us       0.000us         0.00%     953.888ms     108.668us           0 B           0 B       1.57 GB     -39.00 KB          8778  
                                           aten::linear         0.46%      38.485ms         4.90%     411.812ms      61.091us       0.000us         0.00%     939.886ms     139.428us           0 B           0 B       2.00 GB           0 B          6741  
                                               aten::mm         1.22%     102.643ms         1.70%     142.529ms      30.165us     908.140ms        16.95%     908.140ms     192.199us           0 B           0 B     936.54 MB     936.54 MB          4725  
