page,method,threshold,k,rel_mse
3,method_1,0.59,7,0.20335696637630463
3,method_1,0.6,7,0.20335696637630463
3,method_1,0.61,8,0.18252348899841309
3,method_1,0.62,8,0.18252348899841309
3,method_1,0.63,9,0.17135047912597656
3,method_1,0.64,10,0.14817605912685394
3,method_1,0.65,10,0.14817605912685394
3,method_1,0.66,11,0.1441470831632614
3,method_1,0.67,12,0.14516451954841614
3,method_1,0.6799999999999999,12,0.14516451954841614
3,method_1,0.69,13,0.1379656344652176
3,method_1,0.7,14,0.13159948587417603
3,method_1,0.71,15,0.12641358375549316
3,method_1,0.72,16,0.12432271987199783
3,method_1,0.73,17,0.12441089004278183
3,method_1,0.74,18,0.13043977320194244
3,method_1,0.75,19,0.12665176391601562
3,method_1,0.76,21,0.1218034029006958
3,method_1,0.77,22,0.12419581413269043
3,method_1,0.78,23,0.11952287703752518
3,method_1,0.79,24,0.1165529265999794
3,method_1,0.8,26,0.11303245276212692
3,method_1,0.81,27,0.10261791199445724
3,method_1,0.8200000000000001,29,0.11033409833908081
3,method_1,0.8300000000000001,31,0.10563033074140549
3,method_1,0.8400000000000001,32,0.10159501433372498
3,method_1,0.8500000000000001,34,0.08929839730262756
3,method_1,0.86,36,0.08540718257427216
3,method_1,0.87,38,0.07939009368419647
3,method_1,0.88,41,0.07498500496149063
3,method_1,0.89,43,0.06882593035697937
3,method_1,0.9,46,0.07032281160354614
3,method_1,0.91,49,0.05655626952648163
3,method_1,0.9199999999999999,52,0.05422952398657799
3,method_1,0.9299999999999999,56,0.043911565095186234
3,method_1,0.94,60,0.04016541689634323
3,method_1,0.95,65,0.03689566254615784
3,method_1,0.96,70,0.03362828865647316
3,method_1,0.97,77,0.018997248262166977
3,method_1,0.98,87,0.014152726158499718
3,method_1,0.99,100,0.00704938406124711
3,method_2,0.5,8,0.2765378952026367
3,method_2,0.51,9,0.2620106339454651
3,method_2,0.52,9,0.2620106339454651
3,method_2,0.53,10,0.22038297355175018
3,method_2,0.54,10,0.22038297355175018
3,method_2,0.55,11,0.2092536836862564
3,method_2,0.56,11,0.2092536836862564
3,method_2,0.5700000000000001,12,0.20287655293941498
3,method_2,0.58,12,0.20287655293941498
3,method_2,0.59,13,0.19498519599437714
3,method_2,0.6,13,0.19498519599437714
3,method_2,0.61,14,0.18703250586986542
3,method_2,0.62,15,0.18480028212070465
3,method_2,0.63,15,0.18480028212070465
3,method_2,0.64,16,0.18201471865177155
3,method_2,0.65,17,0.17970794439315796
3,method_2,0.66,17,0.17970794439315796
