company,page,k,rmse
BlackRock,6,45,0.9157283140973083
BlackRock,7,1,0.7658191362621093
BlackRock,7,45,0.9596585205118677
BlackRock,8,1,0.8031784798044512
BlackRock,8,45,0.8261639822748733
BlackRock,9,1,0.7883049542348013
BlackRock,9,45,0.9787703753957226
BlackRock,10,1,0.7870299893886212
BlackRock,10,45,1.0378510458794123
BlackRock,11,1,0.7595769547707726
BlackRock,11,45,1.6540357055762354
BlackRock,12,1,0.7669609904428248
BlackRock,12,45,1.040941231348235
BlackRock,13,1,0.8024343063482944
BlackRock,13,45,0.959296777639204
BlackRock,14,1,0.7695819833154344
BlackRock,14,45,0.9223392614126225
BlackRock,15,1,0.7618014592279277
BlackRock,15,45,0.8709912187981481
BlackRock,16,1,0.7746640367226886
BlackRock,16,45,0.8533623560379349
BlackRock,17,1,0.7660219392899383
BlackRock,17,45,0.8691377831347397
BlackRock,18,1,0.7514267460439328
BlackRock,18,45,0.8790951081103098
BlackRock,19,1,0.8004375336368578
BlackRock,19,45,1.0414323523639932
BlackRock,20,1,0.7919492171324263
BlackRock,20,45,1.292936004093233
BlackRock,21,1,0.7640228878958343
BlackRock,21,45,0.9546707718761515
BlackRock,22,1,0.804877862519734
BlackRock,22,45,0.8572444350249684
BlackRock,23,1,0.7852550412424016
BlackRock,23,45,1.8907659537318169
BlackRock,24,1,0.7388336921134369
BlackRock,24,45,0.8081859127625122
BlackRock,25,1,0.7683197545894009
BlackRock,25,45,1.3207928298471672
BNYMellon,1,1,0.7205523969532106
BNYMellon,1,45,0.7165601708822754
BNYMellon,2,1,0.6782502845340539
BNYMellon,2,45,0.8172315414609991
BNYMellon,3,1,0.779484667800081
BNYMellon,3,45,1.6921218934555133
BNYMellon,4,1,0.7400949635633844
BNYMellon,4,45,4.62753460952312
BNYMellon,5,1,0.7700297453335252
BNYMellon,5,45,1.1153564698877942
BNYMellon,6,1,0.7525982052043966
BNYMellon,6,45,0.9786875236813776
BNYMellon,7,1,0.7613121337636878
BNYMellon,7,45,0.9664917798049449
BNYMellon,8,1,0.75380269987398
BNYMellon,8,45,1.2986641041528726
BNYMellon,9,1,0.772743756584314
BNYMellon,9,45,1.5186453151857002
BNYMellon,10,1,0.71286236186415
BNYMellon,10,45,0.6962475514841197
BNYMellon,11,1,0.7601355111859316
BNYMellon,11,45,1.9429674027102164
BNYMellon,12,1,0.7865249616482293
BNYMellon,12,45,0.9502157792185049
BNYMellon,13,1,0.8050973474012504
BNYMellon,13,45,0.9556179890735644
BNYMellon,14,1,0.7734812461183966
BNYMellon,14,45,0.9679524281621459
BNYMellon,15,1,0.7737348578412311
BNYMellon,15,45,0.9182449646641276
BNYMellon,16,1,0.7477438891032646
BNYMellon,16,45,1.1638699289261187
BNYMellon,17,1,0.7573399967107449
BNYMellon,17,45,0.8198825722682596
BNYMellon,18,1,0.7698529983156206
BNYMellon,18,45,0.76564567447705
BNYMellon,19,1,0.7321458035905537
BNYMellon,19,45,0.9044529383098219
BNYMellon,20,1,0.7552414628089642
BNYMellon,20,45,0.8213536166996593
BNYMellon,21,1,0.727535473561738
BNYMellon,21,45,0.8052918842873802
BNYMellon,22,1,0.7457107000508378
BNYMellon,22,45,1.0598452400242995
BNYMellon,23,1,0.7318080957639838
BNYMellon,23,45,1.2250247229366018
BNYMellon,24,1,0.7150683925919278
BNYMellon,24,45,0.848191455663069
BNYMellon,25,1,0.7639207129303915
BNYMellon,25,45,0.8249383788972211
CapitalOne,1,1,0.6777350750990699
CapitalOne,1,45,0.6003649082184968
CapitalOne,2,1,0.6885603667933653
CapitalOne,2,45,0.6834953936052149
CapitalOne,3,1,0.7790302908892951
CapitalOne,3,45,0.971406308067067
CapitalOne,4,1,0.8381763992593798
CapitalOne,4,45,0.8614366643310168
CapitalOne,5,1,0.7277459547635516
CapitalOne,5,45,1.4263683085661558
CapitalOne,6,1,0.7241679509763144
CapitalOne,6,45,1.4286124260369364
CapitalOne,7,1,0.7472840197989223
CapitalOne,7,45,2.357179632186382
CapitalOne,8,1,0.7518133828207907
CapitalOne,8,45,0.7946270735822928
CapitalOne,9,1,0.6816861511791049
CapitalOne,9,45,0.8166504501597299
CapitalOne,10,1,0.7490374896693657
