company,page,k,rmse
Barclays,9,75,0.8033087331079105
Barclays,9,77,0.8801710686766234
Barclays,9,79,0.9421882171784054
Barclays,9,81,0.8886690109576186
Barclays,9,83,0.7954135241307285
Barclays,9,85,1.156580167722015
Barclays,9,87,10.943117641241837
Barclays,9,89,0.7958911800070557
Barclays,9,91,0.7860688955297968
Barclays,9,93,0.8024375480257799
Barclays,9,95,0.8110550954903708
Barclays,9,97,0.7794358500343453
Barclays,9,99,0.7899884091273609
Barclays,9,101,0.893514790474793
Barclays,9,103,0.7733718160686323
Barclays,9,105,0.7693301122591042
Barclays,9,107,0.8055475920537598
Barclays,9,109,1.4574325365466134
Barclays,9,111,0.9057163310500352
Barclays,9,113,0.7872446216644979
Barclays,9,115,0.7858977072072845
Barclays,9,117,0.9073518499469209
Barclays,9,120,0.9815657420319708
Barclays,10,1,0.7521305158817445
Barclays,10,3,1.3299263235173882
Barclays,10,5,1.24108195438492
Barclays,10,7,0.9855083895494365
Barclays,10,9,1.287344876976904
Barclays,10,11,1.125977126745931
Barclays,10,13,0.8857298094196683
Barclays,10,15,0.8902024072027981
Barclays,10,17,0.8606073156091592
Barclays,10,19,0.9223502188456663
Barclays,10,21,1.056310542045408
Barclays,10,23,0.793560853639623
Barclays,10,25,0.7852940885639166
