-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Lazy Function Loading         0.03%       4.822ms         0.03%       4.822ms      46.369us        4.604s        42.62%        4.604s      44.265ms           0 B           0 B           0 B           0 B           104  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        4.074s        37.72%        4.074s      13.185ms           0 B           0 B           0 B           0 B           309  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.865s        17.27%        1.865s      37.672us           0 B           0 B           0 B           0 B         49504  
                                           aten::matmul         0.49%      83.754ms         3.08%     527.250ms      60.065us       0.000us         0.00%        1.379s     157.144us           0 B           0 B       3.48 GB           0 B          8778  
                                           aten::linear         0.18%      29.996ms         2.22%     380.281ms      56.413us       0.000us         0.00%        1.329s     197.108us           0 B           0 B       3.65 GB           0 B          6741  
                                               aten::mm         0.60%     102.940ms         1.00%     171.778ms      36.355us        1.282s        11.87%        1.289s     272.747us           0 B           0 B       1.68 GB       1.68 GB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     989.020ms         9.16%     989.020ms       7.546us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     872.191ms         8.07%     872.191ms       3.018ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     654.983ms         6.06%     654.983ms       4.997us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 1024>(i...         0.00%       0.000us         0.00%       0.000us       0.000us     560.375ms         5.19%     560.375ms     547.242us           0 B           0 B           0 B           0 B          1024  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.02%       3.825ms         0.06%       9.960ms       3.297us       0.000us         0.00%     511.665ms     169.369us           0 B           0 B           0 B           0 B          3021  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     401.286ms         3.72%     401.286ms     124.623us           0 B           0 B           0 B           0 B          3220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.121s
Self CUDA time total: 10.801s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         3.95%     637.502ms       100.00%       16.158s        8.079s       0.000us         0.00%       30.222s       15.111s     546.50 MB     -21.21 MB     490.98 MB     -18.90 GB             2  
                                       aten::linalg_svd         0.00%     339.768us        37.71%        6.094s     190.437ms       0.000us         0.00%       28.430s     888.431ms           0 B           0 B     317.69 MB           0 B            32  
                                      aten::_linalg_svd         2.06%     333.389ms        37.71%        6.094s     190.427ms        4.613s        47.13%       28.430s     888.431ms           0 B      -4.00 KB     317.69 MB      63.50 MB            32  
                                       cudaLaunchKernel        14.00%        2.261s        16.31%        2.635s       4.668us       0.000us         0.00%       12.383s      21.939us           0 B           0 B           0 B           0 B        564425  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        9.302s        95.04%        9.302s        9.302s           0 B           0 B           0 B           0 B             1  
                                           Buffer Flush         0.11%      17.283ms         0.11%      17.331ms     293.750us        7.639s        78.05%        7.639s     129.475ms           0 B           0 B     -38.00 KB     -39.50 KB            59  
                                Activity Buffer Request         0.64%     103.949ms         0.64%     103.949ms       1.890ms        6.763s        69.10%        6.763s     122.962ms           0 B           0 B           0 B           0 B            55  
