-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::lt         0.05%      13.193ms         0.07%      19.246ms      29.979us       1.805ms         0.02%       1.807ms       2.815us          64 B          68 B     544.00 KB     544.00 KB           642  
                                           aten::detach         0.01%       3.191ms         0.02%       6.288ms       4.054us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                                 detach         0.01%       3.097ms         0.01%       3.097ms       1.997us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                          aten::normal_         0.01%       1.496ms         0.02%       4.925ms       4.925ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          prims::normal         0.00%     104.056us         0.00%     116.252us     116.252us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::to         0.06%      14.970ms         0.73%     198.296ms      30.219us       0.000us         0.00%      21.098ms       3.215us       4.30 KB           0 B       3.06 GB           0 B          6562  
                                         aten::_to_copy         0.18%      47.484ms         0.68%     183.326ms      41.188us       0.000us         0.00%      21.098ms       4.740us       4.30 KB           0 B       3.06 GB           0 B          4451  
                                            aten::copy_         0.26%      70.438ms         0.58%     155.999ms      22.687us      30.551ms         0.30%      30.652ms       4.458us           0 B           0 B           0 B           0 B          6876  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 26.995s
Self CUDA time total: 10.066s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.21%      35.908ms         0.22%      36.824ms       4.057us       0.000us         0.00%       0.000us       0.000us      17.82 KB      17.82 KB      16.13 GB      16.13 GB          9076  
                                    aten::empty_strided         0.16%      27.210ms         0.16%      27.493ms       5.813us       0.000us         0.00%       0.000us       0.000us       4.30 KB       4.30 KB       3.09 GB       3.09 GB          4730  
                                              aten::mul         0.62%     103.343ms         1.03%     172.093ms      20.923us      25.747ms         0.25%      25.837ms       3.141us       1.31 KB       1.33 KB       2.22 GB       2.22 GB          8225  
                                              aten::div         0.01%       1.433ms         0.01%       1.665ms     208.186us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.02 KB           0 B           0 B             8  
                                       aten::reciprocal         0.00%     717.651us         0.00%     834.600us     139.100us       0.000us         0.00%       0.000us       0.000us         768 B         768 B           0 B           0 B             6  
                                              aten::sub         0.05%       8.970ms         0.08%      13.417ms      20.834us       1.828ms         0.02%       1.831ms       2.843us         512 B         520 B       2.72 MB       2.72 MB           644  
                                            aten::where         0.10%      16.380ms         0.51%      85.549ms      66.627us       2.108ms         0.02%       5.141ms       4.004us         512 B         512 B       1.71 MB    -292.50 KB          1284  
                                          aten::resize_         0.06%       9.811ms         0.06%      10.244ms       3.707us       0.000us         0.00%       0.000us       0.000us         512 B         512 B       8.61 MB       8.61 MB          2763  
                                              aten::add         0.34%      56.171ms         0.57%      95.264ms      20.060us      10.517ms         0.10%      10.563ms       2.224us         256 B         264 B     450.57 MB     450.57 MB          4749  
                                              aten::pow         0.15%      25.298ms         0.38%      63.669ms      46.542us       3.101ms         0.03%       3.139ms       2.295us         256 B         260 B     539.38 MB     539.38 MB          1368  
                                               aten::gt         0.00%     526.131us         0.00%     650.887us     162.722us       0.000us         0.00%       0.000us       0.000us         128 B         136 B           0 B           0 B             4  
                                      aten::bitwise_not         0.01%       1.246ms         0.01%       1.636ms      45.438us      77.474us         0.00%      79.906us       2.220us         128 B         128 B       7.83 MB       7.83 MB            36  
                     aten::_efficient_attention_forward         0.06%      10.207ms         0.16%      27.147ms      42.417us      21.599ms         0.21%      21.688ms      33.888us      10.00 KB          88 B       5.00 MB           0 B           640  
                                               aten::lt         0.06%      10.298ms         0.09%      14.729ms      22.942us       1.502ms         0.01%       1.504ms       2.343us          64 B          68 B     544.00 KB     544.00 KB           642  
                                           Buffer Flush         0.06%       9.863ms         0.06%       9.946ms     174.498us        8.207s        80.16%        8.207s     143.982ms           8 B           8 B       4.50 KB       4.50 KB            57  
                                  cudaDeviceSynchronize         0.00%     512.826us         0.00%     512.826us      14.652us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            35  
                                Activity Buffer Request         0.49%      81.389ms         0.49%      81.389ms       1.536ms        7.221s        70.53%        7.221s     136.247ms           0 B           0 B           0 B           0 B            53  
                                           aten::detach         0.02%       3.244ms         0.04%       6.310ms       4.069us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                                 detach         0.02%       3.066ms         0.02%       3.066ms       1.977us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                          aten::normal_         0.01%       1.989ms         0.03%       5.753ms       5.753ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.742s
Self CUDA time total: 10.238s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.27%      47.481ms         0.28%      48.438ms       5.337us       0.000us         0.00%       0.000us       0.000us      17.91 KB      17.91 KB      16.13 GB      16.13 GB          9076  
                                    aten::empty_strided         0.20%      34.883ms         0.20%      35.211ms       7.444us       0.000us         0.00%       0.000us       0.000us       4.30 KB       4.30 KB       3.09 GB       3.09 GB          4730  
                                              aten::mul         0.76%     130.842ms         1.27%     220.232ms      26.776us      28.951ms         0.29%      29.041ms       3.531us       1.31 KB       1.33 KB       2.22 GB       2.22 GB          8225  
                                              aten::div         0.01%       1.181ms         0.01%       1.405ms     175.598us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.02 KB           0 B           0 B             8  
                                       aten::reciprocal         0.00%     514.694us         0.00%     629.246us     104.874us       0.000us         0.00%       0.000us       0.000us         768 B         768 B           0 B           0 B             6  
                                              aten::sub         0.07%      11.300ms         0.10%      17.382ms      26.991us       2.110ms         0.02%       2.113ms       3.281us         512 B         520 B       2.72 MB       2.72 MB           644  
                                            aten::where         0.12%      21.336ms         0.63%     109.183ms      85.033us       2.413ms         0.02%       5.901ms       4.596us         512 B         512 B       1.72 MB    -288.00 KB          1284  
                                          aten::resize_         0.08%      13.197ms         0.08%      13.674ms       4.949us       0.000us         0.00%       0.000us       0.000us         512 B         512 B       8.61 MB       8.61 MB          2763  
