method,k,mean,std,min,max
method_4,52,0.017085081083462416,0.001998793140300484,0.012872293335710534,0.01929639037678168
method_4,55,0.01621255514809564,0.0020322159647568894,0.011990766501265952,0.018585675645455234
method_4,58,0.015308700727325774,0.0019340538548810247,0.01127448281130475,0.017659506398595017
method_4,61,0.014395435171869012,0.001905725504667551,0.010391039293318945,0.01659872577778331
method_4,64,0.013521740685157352,0.0019376532469405675,0.009275403259017318,0.015822828094315563
method_4,67,0.012584031843611346,0.001748309738074958,0.008638188441444837,0.01441656767954598
method_4,70,0.011859009261757756,0.0017104213863118603,0.008098684500062788,0.013591082199997292
method_4,73,0.011165467099647572,0.0017358875018132634,0.007217847758230385,0.012980712481525635
method_4,77,0.010240426798063654,0.001721778183305649,0.006208126219387149,0.01174650841058895
method_4,80,0.009510929853184752,0.0016801172541435264,0.00570034521566933,0.010968000635400422
method_4,83,0.008842302834853369,0.001579036011319909,0.005182611785982087,0.010281238996641523
method_4,86,0.00820600728696833,0.001452681487980199,0.004842221777628029,0.009638113285389766
method_4,89,0.007652790823955048,0.001354361947979707,0.004515420994602148,0.00908458720857487
method_4,92,0.007131048066041404,0.0012911305710533005,0.004190406964094767,0.008456172030864193
method_4,95,0.006578493559683349,0.001220174686694044,0.0037893387021584336,0.007752993528684286
method_4,98,0.006003450261949514,0.0011680516674264885,0.0032683153480930643,0.007243347228238877
method_4,101,0.005491508557140237,0.001118395042040957,0.0028747116680757755,0.006693714956986625
method_4,104,0.005002979676169736,0.0010579950080448473,0.0025405963440790266,0.006320809194040575
method_4,107,0.004501932964192936,0.0010239037148468263,0.002009718890512436,0.005712608820534578
method_4,110,0.0039805262169929495,0.0008686755670985504,0.0018310139572063977,0.004775048540289284
method_4,113,0.003439662879401573,0.0007896339179770728,0.0015228932944200907,0.004359158402609357
method_4,116,0.0028644869237492944,0.0006565511871276315,0.0012454370885793804,0.0035636789255979046
method_4,119,0.00232231277264704,0.0005413018420418465,0.0009322174369828154,0.0027977418922251218
method_4,122,0.001713159759426063,0.00043442520646803885,0.0006403605031776213,0.0022332698720799503
method_4,125,0.0010873960814845173,0.00027423928497574007,0.00036161697358131283,0.001343318150721207
method_4,128,1.8616566937921332e-06,3.339552938259902e-07,1.3324275470393007e-06,2.5673958789744596e-06
method_4,131,1.8616566937921332e-06,3.339552938259902e-07,1.3324275470393007e-06,2.5673958789744596e-06
method_4,134,1.8616566937921332e-06,3.339552938259902e-07,1.3324275470393007e-06,2.5673958789744596e-06
method_4,137,1.8616566937921332e-06,3.339552938259902e-07,1.3324275470393007e-06,2.5673958789744596e-06
method_4,140,1.8616566937921332e-06,3.339552938259902e-07,1.3324275470393007e-06,2.5673958789744596e-06
method_4,143,1.8616566937921332e-06,3.339552938259902e-07,1.3324275470393007e-06,2.5673958789744596e-06
