page,method,k,rmse,cos_sim
7,method_1,28,0.034739481010982155,0.948363184928894
7,method_1,31,0.03478977972904388,0.9482083320617676
7,method_1,34,0.030597769282112868,0.9602187871932983
7,method_1,37,0.02951914493939761,0.9629970788955688
7,method_1,40,0.029684959400160926,0.9625701904296875
7,method_1,43,0.029073590518168744,0.9641579985618591
7,method_1,46,0.028700072558527075,0.9651062488555908
7,method_1,49,0.02778126767696198,0.9672937393188477
7,method_1,52,0.028016849748019507,0.9667291045188904
7,method_1,55,0.02730442842918631,0.96844083070755
7,method_1,58,0.02606929503075219,0.9712873697280884
7,method_1,61,0.023944094762673097,0.9759186506271362
7,method_1,64,0.023217585108621975,0.9773804545402527
7,method_1,67,0.022469613483192,0.9790790677070618
7,method_1,70,0.020156682755108787,0.9832054972648621
7,method_1,73,0.017720124929254167,0.9869794845581055
7,method_1,77,0.01679751511396471,0.9882380962371826
7,method_1,80,0.015192259710773998,0.9904126524925232
7,method_1,83,0.015044990465018233,0.9906096458435059
7,method_1,86,0.014900136225735397,0.9907524585723877
7,method_1,89,0.013683155315132636,0.992202877998352
7,method_1,92,0.012361933055961215,0.9936276078224182
7,method_1,95,0.011989086163449422,0.9940057992935181
7,method_1,98,0.010691033969458025,0.995246946811676
7,method_1,101,0.010343341132372692,0.9955490827560425
7,method_1,104,0.00803742003521238,0.9973174929618835
7,method_1,107,0.006503108170465708,0.9982532262802124
7,method_1,110,0.0064950805513583,0.9982576966285706
7,method_1,113,0.004994665269169711,0.9989690184593201
7,method_1,116,0.004466997874671306,0.9991742372512817
7,method_1,119,0.003536139361688024,0.9994786381721497
7,method_1,122,0.0021638093709987647,0.9998056292533875
7,method_1,125,0.0011646910844906142,0.9999435544013977
7,method_1,128,1.6514840859983678e-06,0.9999999403953552
7,method_1,131,1.6514840859983678e-06,0.9999999403953552
7,method_1,134,1.6514840859983678e-06,0.9999999403953552
7,method_1,137,1.6514840859983678e-06,0.9999999403953552
7,method_1,140,1.6514840859983678e-06,0.9999999403953552
7,method_1,143,1.6514840859983678e-06,0.9999999403953552
7,method_1,146,1.6514840859983678e-06,0.9999999403953552
7,method_1,150,1.6514840859983678e-06,0.9999999403953552
7,method_2,1,0.08563091306821974,0.6423847675323486
7,method_2,4,0.060042795956820695,0.8366360664367676
7,method_2,7,0.05505889775103285,0.8646495342254639
7,method_2,10,0.05414223682665752,0.8692877292633057
7,method_2,13,0.052202989052136224,0.879328727722168
7,method_2,16,0.04872150701860121,0.895771861076355
7,method_2,19,0.046590195646098086,0.9050867557525635
7,method_2,22,0.044951809881283375,0.9119144082069397
7,method_2,25,0.04225036768120203,0.9226503968238831
7,method_2,28,0.03984693188444096,0.931492805480957
7,method_2,31,0.03953044126978181,0.9326072335243225
7,method_2,34,0.03648687402868076,0.9429200887680054
7,method_2,37,0.035154852574443805,0.9470909237861633
7,method_2,40,0.034474320614650195,0.9491745233535767
7,method_2,43,0.03362400285412691,0.9517426490783691
7,method_2,46,0.032807681036352065,0.9541257619857788
7,method_2,49,0.03167446028673748,0.9572649598121643
7,method_2,52,0.03162418176630038,0.9574049711227417
7,method_2,55,0.030797769788440028,0.9596590995788574
7,method_2,58,0.02953123391777943,0.962983250617981
7,method_2,61,0.027183466334961843,0.9688050150871277
7,method_2,64,0.026195526956314066,0.9710777997970581
7,method_2,67,0.025306253138866662,0.9732894897460938
7,method_2,70,0.02303294497314291,0.9779183268547058
7,method_2,73,0.020592130874174507,0.9823180437088013
7,method_2,77,0.019574660249649566,0.9839662909507751
7,method_2,80,0.017839385980559366,0.9867236614227295
7,method_2,83,0.0173572959429067,0.9874510765075684
7,method_2,86,0.01690589647917251,0.9880648851394653
7,method_2,89,0.015506552944901941,0.9899644255638123
7,method_2,92,0.014206841702982477,0.9915686249732971
7,method_2,95,0.013598817917370394,0.9922769069671631
7,method_2,98,0.01231771240505658,0.9936772584915161
7,method_2,101,0.011879925208402182,0.9941174983978271
7,method_2,104,0.009615220472857327,0.9961523413658142
7,method_2,107,0.00797070427628532,0.9973655343055725
7,method_2,110,0.007657095687704005,0.9975706338882446
7,method_2,113,0.006121344751842492,0.9984460473060608
7,method_2,116,0.005334482974526925,0.9988194704055786
7,method_2,119,0.004353613398142006,0.9992096424102783
7,method_2,122,0.003011982061151248,0.999622642993927
7,method_2,125,0.002017151149773804,0.9998304843902588
7,method_2,128,2.736125869909833e-06,1.0
7,method_2,131,2.736125869909833e-06,1.0
7,method_2,134,2.736125869909833e-06,1.0
7,method_2,137,2.736125869909833e-06,1.0
7,method_2,140,2.736125869909833e-06,1.0
7,method_2,143,2.736125869909833e-06,1.0
7,method_2,146,2.736125869909833e-06,1.0
7,method_2,150,2.736125869909833e-06,1.0
7,method_3,1,0.08004761323917904,0.6829816699028015
7,method_3,4,0.05711575503464688,0.8547914028167725
7,method_3,7,0.05255782854039866,0.877600908279419
7,method_3,10,0.05230996203233592,0.8786926865577698
7,method_3,13,0.05104799317585172,0.884868860244751
7,method_3,16,0.048066057469770045,0.8987222909927368
7,method_3,19,0.04665615234664999,0.9048041701316833
7,method_3,22,0.04531106083327393,0.9104260206222534
7,method_3,25,0.041938917060232624,0.9238439798355103
7,method_3,28,0.040732202051448,0.9282659292221069
7,method_3,31,0.039775628696331396,0.9317179322242737
7,method_3,34,0.037361434022433394,0.9400158524513245
7,method_3,37,0.03617701211274354,0.9438692927360535
7,method_3,40,0.0361761255604199,0.9438765048980713
7,method_3,43,0.035763237505298806,0.9451851844787598
7,method_3,46,0.03541613590378045,0.9462907314300537
7,method_3,49,0.03446090338499239,0.9492112994194031
7,method_3,52,0.034391115418104336,0.9494170546531677
7,method_3,55,0.03372199632455619,0.9514168500900269
7,method_3,58,0.032697228058835064,0.9544031620025635
7,method_3,61,0.03106086931089464,0.9589959383010864
7,method_3,64,0.03036630809742016,0.9608343839645386
7,method_3,67,0.02989305238182417,0.9621778726577759
7,method_3,70,0.02847382645158955,0.9657461643218994
7,method_3,73,0.0271263624139053,0.9688670039176941
7,method_3,77,0.026290527137509935,0.9707619547843933
7,method_3,80,0.02522674386293613,0.9731184840202332
7,method_3,83,0.024864600600562368,0.9738941192626953
7,method_3,86,0.024946334028324826,0.973713755607605
7,method_3,89,0.024220577294110715,0.9752398729324341
7,method_3,92,0.023357454592967904,0.976997435092926
7,method_3,95,0.022720049977332058,0.9782585501670837
7,method_3,98,0.02172013319322728,0.9801382422447205
7,method_3,101,0.021321893343183077,0.9808664917945862
7,method_3,104,0.020380090741047296,0.982536256313324
7,method_3,107,0.019609609265039473,0.983846127986908
7,method_3,110,0.01925514838466069,0.9844264388084412
7,method_3,113,0.018700863048802304,0.9853346943855286
7,method_3,116,0.018386073907710625,0.9858445525169373
7,method_3,119,0.018068818466138205,0.9863396286964417
7,method_3,122,0.01760047247047426,0.9870622754096985
7,method_3,125,0.017280771452309874,0.9875163435935974
7,method_3,128,0.016585332461278655,0.9884859323501587
7,method_3,131,0.015387142597224939,0.9900829195976257
7,method_3,134,0.014590294004677803,0.991086483001709
7,method_3,137,0.013419487978580712,0.9924647808074951
7,method_3,140,0.012679556780647819,0.99327552318573
7,method_3,143,0.012108176022054475,0.9938697814941406
7,method_3,146,0.01147598527207505,0.9944949150085449
7,method_3,150,0.010684985426723864,0.995231568813324
7,method_4,1,0.08203295297217383,0.6625348329544067
7,method_4,4,0.05471222395258053,0.8662738800048828
7,method_4,7,0.049111881681558875,0.8938161134719849
7,method_4,10,0.04406117820913099,0.9155007600784302
7,method_4,13,0.04057620016388532,0.9288343191146851
7,method_4,16,0.03678600532155002,0.9419019818305969
7,method_4,19,0.03452605597617829,0.9490078687667847
7,method_4,22,0.032370363889535486,0.9553213119506836
7,method_4,25,0.03034022198080682,0.9608607292175293
7,method_4,28,0.028018112897173708,0.9667220115661621
7,method_4,31,0.026813292980763934,0.9695664644241333
7,method_4,34,0.025670648619543154,0.972141444683075
7,method_4,37,0.024400126532885244,0.9748654365539551
