method,k,mean,std,min,max
method_4,110,0.03573647625097554,0.007718729032421662,0.007084668826759526,0.050770713892842906
method_4,113,0.031038785081450002,0.006812747299861484,0.005925899609093587,0.04133557618061161
method_4,116,0.026490449390636873,0.00602853451120661,0.0031111245213918935,0.03621261814013649
method_4,119,0.021772140351357338,0.005296660107211375,0.0009903355355586612,0.03265606027685401
method_4,122,0.016737870253620966,0.0044270441783661645,1.0647277533307957e-05,0.027601255093664206
method_4,125,0.010978003023296351,0.003085248425104857,1.0647277533307957e-05,0.018496488470515368
method_4,128,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,131,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,134,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,137,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,140,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,143,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,146,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
method_4,150,1.6802405065074123e-05,3.1323445930222866e-06,9.790748209098854e-06,2.6537452181191288e-05
