method,k,mean,std,min,max
method_2,110,0.006059905176199811,0.0020870934074126045,0.0017704636842776063,0.008336862254068359
method_2,113,0.005052724861049994,0.0018062330580518335,0.0013915867298835269,0.0068467641993083875
method_2,116,0.004426624438589595,0.0016334833660010548,0.001102194573498438,0.006438742864831925
method_2,119,0.0035517279566664737,0.0014230896480191251,0.000747686670118654,0.005372399644158894
method_2,122,0.0024841964661437965,0.0009665403596812047,0.00048470240593215854,0.0033032485180887
method_2,125,0.0015076163272200876,0.0005795430633557007,0.0002989566252723801,0.002205240555024901
method_2,128,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,131,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,134,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,137,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,140,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,143,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,146,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_2,150,2.7025480906589147e-06,5.304704469602891e-07,1.7874536346791186e-06,3.308718192527316e-06
method_3,1,0.07817507025531314,0.0028203616400143887,0.07481475929104991,0.08321137991774975
method_3,4,0.05794160704657825,0.005217124733337458,0.049760633039350105,0.06652666142346553
method_3,7,0.05137211476220831,0.0037984315321116773,0.04427003888978778,0.05639264890500986
method_3,10,0.04912944275032622,0.0038550208167313863,0.04364710132003925,0.05485420915594084
method_3,13,0.04680670135638112,0.004074561197349156,0.0412687145211915,0.05230794124795955
method_3,16,0.043640260464114865,0.003367863289105634,0.03829071733124564,0.048066057469770045
method_3,19,0.04161545413484149,0.0038739137614600726,0.03524288291779904,0.04665615234664999
method_3,22,0.04031681405881594,0.0038219299882236977,0.034313720775538264,0.04531106083327393
method_3,25,0.03898057662652966,0.0029849235048227383,0.03496016349681585,0.04291877495510259
method_3,28,0.037675427424381305,0.003066391700638575,0.03345940362699806,0.041930930235606255
method_3,31,0.036087493167776284,0.003701206185575648,0.02881947711876261,0.04041969266763359
method_3,34,0.03486382822984972,0.0038175590072558885,0.02735630134764154,0.03965240685320107
method_3,37,0.03397031644285932,0.0036395876311397122,0.026445749695134926,0.03805041949496994
method_3,40,0.03317240875804296,0.003916426132475324,0.025070824269729414,0.03699705731826036
method_3,43,0.032087019044622564,0.004368977904456024,0.02286526104348839,0.03635995262799446
method_3,46,0.03116393207390033,0.0047520273060001495,0.021285131566202597,0.03579478894492776
method_3,49,0.02995729953045162,0.004476498570253529,0.020284859226253418,0.03446090338499239
method_3,52,0.029190065356181648,0.004610913896759233,0.019721718496741095,0.034391115418104336
method_3,55,0.028297477324115528,0.004624167787269174,0.019081949263848513,0.03372199632455619
method_3,58,0.02748798356927934,0.0044928557842924795,0.018529507843606706,0.032697228058835064
method_3,61,0.026876990276504715,0.004095998284619481,0.018967649169347466,0.03106086931089464
method_3,64,0.026087029983650634,0.004056468097822293,0.018009231444504784,0.03036630809742016
method_3,67,0.025431656325550372,0.004196630302775257,0.017167894061623723,0.02989305238182417
method_3,70,0.024780319856721352,0.004116438989448754,0.016814193765569925,0.029447734366965506
method_3,73,0.02388043482629567,0.004003740174021533,0.015946720381734624,0.028360538647622644
method_3,77,0.022783843267209985,0.0038616826966433974,0.015014922228697198,0.026968534831139614
method_3,80,0.021980239768520583,0.003712263407377939,0.014390533749788624,0.026303492542165338
method_3,83,0.021334094007706216,0.0036140501018895365,0.013966528813361325,0.025729584175516174
method_3,86,0.020788544599600094,0.0037870551420721315,0.012989450299920569,0.02509964589941591
method_3,89,0.020066312965109932,0.0038204523276614832,0.011912509844400385,0.024220577294110715
method_3,92,0.01951044973729868,0.0038094530053433104,0.0110488635040352,0.023490290000306023
method_3,95,0.019023016257294422,0.003928972584999878,0.010763460196242918,0.023176336315480342
method_3,98,0.018556626716157463,0.0038438335445269076,0.010377397510058077,0.02215366905354941
method_3,101,0.018130012898451828,0.0037507634340115566,0.010013214467949234,0.021540114992127834
method_3,104,0.017595634231913244,0.0037524926522233683,0.009326837691287001,0.02103920878951941
method_3,107,0.01707030941021504,0.003672479773497367,0.008826933751791069,0.02015681992323905
method_3,110,0.01648290836716486,0.0036339052566125717,0.008332646701059153,0.019741027021152865
method_3,113,0.01604612538068006,0.0037792568946341813,0.0071904721209923965,0.019553583757188575
method_3,116,0.015637809666942955,0.0038868562145915183,0.006626151386282973,0.019270745862647386
method_3,119,0.015204032446318247,0.0039439961168521226,0.006154529350307083,0.018682110555444425
method_3,122,0.014609902176927498,0.004284422986881723,0.004387757176484837,0.01817049587438555
method_3,125,0.01409312910318714,0.0044940428359438005,0.003529632261244882,0.01765382381613171
method_3,128,0.01344543570597077,0.0046917083316840805,0.002531204617871057,0.01721795040497494
