page,method,k,rmse,cos_sim
2,method_2,13,0.042733047197101845,0.9156866073608398
2,method_2,16,0.03899465570126364,0.9304752349853516
2,method_2,19,0.03772792140741378,0.9350904226303101
2,method_2,22,0.036561493057360214,0.9391618967056274
2,method_2,25,0.035846341399044926,0.9417186975479126
2,method_2,28,0.033673679138627524,0.9486050009727478
2,method_2,31,0.03243819739349111,0.9524570107460022
2,method_2,34,0.031308926963103854,0.955795407295227
2,method_2,37,0.030412859540811465,0.9583464860916138
2,method_2,40,0.029303465539007256,0.9614254832267761
2,method_2,43,0.028802570020367506,0.9628057479858398
2,method_2,46,0.027104406318879008,0.9670554995536804
2,method_2,49,0.026084512739496517,0.969504714012146
2,method_2,52,0.0248827027018264,0.9722367525100708
2,method_2,55,0.0230567346310022,0.9761990308761597
2,method_2,58,0.02227686004608524,0.9778037071228027
2,method_2,61,0.01981974487254033,0.9824697971343994
2,method_2,64,0.01952005900207173,0.9829990863800049
2,method_2,67,0.018919900129500077,0.9840369820594788
2,method_2,70,0.017509915048852052,0.9863437414169312
2,method_2,73,0.017192647174080047,0.986839234828949
2,method_2,77,0.016264200572304034,0.9882315397262573
2,method_2,80,0.015148637390004462,0.9897975921630859
2,method_2,83,0.014092354988127881,0.9911848902702332
2,method_2,86,0.01277719339019422,0.992767870426178
2,method_2,89,0.011899711342394335,0.9937261939048767
2,method_2,92,0.011177587659583826,0.994478702545166
2,method_2,95,0.009516335969182072,0.995988130569458
2,method_2,98,0.008816090556758058,0.9965556263923645
2,method_2,101,0.008615418400665945,0.996717631816864
2,method_2,104,0.008301893065127902,0.9969501495361328
2,method_2,107,0.007799763794009457,0.9973083138465881
2,method_2,110,0.0068904444404837865,0.9979000091552734
2,method_2,113,0.005032809992820945,0.9988828897476196
2,method_2,116,0.004335690626038509,0.9991720914840698
2,method_2,119,0.003406833680586788,0.9994878172874451
2,method_2,122,0.002822842468887649,0.9996485710144043
2,method_2,125,0.0020941398143133005,0.9998083710670471
2,method_2,128,2.4541965906491524e-06,1.0
2,method_2,131,2.4541965906491524e-06,1.0
2,method_2,134,2.4541965906491524e-06,1.0
2,method_2,137,2.4541965906491524e-06,1.0
2,method_2,140,2.4541965906491524e-06,1.0
2,method_2,143,2.4541965906491524e-06,1.0
2,method_2,146,2.4541965906491524e-06,1.0
2,method_2,150,2.4541965906491524e-06,1.0
2,method_3,1,0.08011648085257896,0.657356858253479
2,method_3,4,0.053185141317103016,0.8666325807571411
2,method_3,7,0.04782068706444283,0.8932431936264038
2,method_3,10,0.044278863162274446,0.9092145562171936
2,method_3,13,0.04115787458299986,0.9221290349960327
2,method_3,16,0.03816024854435861,0.9333710074424744
2,method_3,19,0.03660045360017184,0.9388751983642578
2,method_3,22,0.035569467936484196,0.9423696994781494
2,method_3,25,0.035235930586095233,0.9434918165206909
2,method_3,28,0.034102487232018884,0.947157084941864
2,method_3,31,0.03321331758289209,0.9499775767326355
2,method_3,34,0.03254839021872869,0.9520502090454102
2,method_3,37,0.031964947025081424,0.9538131356239319
2,method_3,40,0.031217798763752583,0.9560350179672241
2,method_3,43,0.03064396531443749,0.9576940536499023
2,method_3,46,0.029441572525753898,0.9609791040420532
2,method_3,49,0.028766377883838196,0.9627635478973389
2,method_3,52,0.027586480121507377,0.9657816290855408
2,method_3,55,0.02619028129195646,0.9692119359970093
2,method_3,58,0.02563943820330316,0.970546305179596
2,method_3,61,0.023678368902825608,0.9748885035514832
2,method_3,64,0.02338030910505634,0.9755331873893738
2,method_3,67,0.023004370476046174,0.9763245582580566
2,method_3,70,0.02231432655932971,0.9777340888977051
2,method_3,73,0.02173646502863452,0.9789097309112549
2,method_3,77,0.02092911883468397,0.9804496169090271
2,method_3,80,0.02023508816391096,0.9817311763763428
2,method_3,83,0.019736414192621714,0.9826459884643555
